,,,,,,,,,,,,Col,,,Complex Supreme Mt.,Subcomplex,System,Subsystem,Range,Dominance Parent
77,88,"46°09'19""","10°52'14""",CIMA TOSA,3173,1521,47.94,SMB2,4,H,I,S of Campo Carlo Magno (1652),"46°14'34""","10°50'44""",MONT BLANC,,PIZ BERNINA,CIMA TOSA,,PIZ BERNINA
78,89,"47°33'42""","14°37'58""",HOCHTOR,2369,1520,64.16,SMB1,3,H,A,Schoberpass (849),"47°27'06""","14°40'04""",MONT BLANC,,HOCHTOR,,,MONT BLANC
79,90,"67°25'59""","17°43'27""",SAREKTJÅKKÅ,2089,1519,72.71,SMA2,3,L,S,SW of Border kairn 249 (570),"67°49'13""","16°39'05""",GALDHØPIGGEN,SAREKTJAHKKA,,,,KEBNEKAISE
80,91,"47°31'14""","14°01'01""",GRIMMING,2351,1518,64.57,SMB1,3,H,A,near Schrödis (833),"47°33'09""","14°00'47""",MONT BLANC,HOHER DACHSTEIN,GRIMMING,,,GROSSER PRIEL
81,92,"45°56'15""","07°17'57""",GRAND COMBIN,4314,1517,35.16,SMC1,6,H,CH,Durand (2797),"45°54'33""","07°21'21""",MONT BLANC,,,MONTE ROSA,GRAND COMBIN,MONTE ROSA
82,93,"41°00'13""","21°11'12""",PELISTER,2601,1516,58.29,SMB1,4,L,MA,Preseka (1085) ? 1082,"41°26'07""","20°49'28""",MONT BLANC,GOLEM KORAB,PELISTER,,,GOLEM KORAB
83,94,"38°45'32""","20°59'44""",PSILI KORIFI,1589,1514,95.28,SMA1,2,L,GR,,"38°50'50""","21°10'01""",PSILI KORIFI,,,,,MONT BLANC
84,95,"45°49'38""","06°17'11""",LA TOURNETTE,2351,1514,64.40,SMB1,3,H,F,Col du Marais (837),"45°49'32""","06°20'04""",MONT BLANC,,LA TOURNETTE,,,MONT BLANC
85,96,"46°37'17""","09°52'22""",PIZ KESCH,3418,1504,44.00,SMB2,5,L,CH,Lukmanier (1914),"46°33'44""","08°48'11""",MONT BLANC,,FINSTERAARHORN,PIZ KESCH,,FINSTERAARHORN
86,97,"47°03'49""","14°34'02""",ZIRBITZKOGEL,2396,1502,62.69,SMB1,3,H,A,Neumarkter Sattel (894),"47°06'19""","14°22'27""",MONT BLANC,,ZIRBITZKOGEL,,,GROSSGLOCKNER
87,98,"42°53'18""","11°37'29""",MONTE AMIATA,1738,1490,85.73,SMA2,2,H,I,near Arezzo (248),"43°02'31""","11°58'06""",MONT BLANC,MONTE AMIATA,,,,MONT BLANC
88,99,"45°02'23""","05°55'30""",LE TAILLEFER,2857,1490,52.15,SMB1,4,L,F,Col d'Ornon (1367) ? 1371,"45°00'41""","05°58'04""",MONT BLANC,,LE TAILLEFER,,,MONT BLANC
89,100,"46°26'29""","22°41'25""",BIHOR (CUCURBATA MARE),1849,1478,79.94,SMA2,2,H,ROM,,"46°47'29""","24°11'05""",GERLACHOVSKÝ ŠTÍT,CUCURBATA MARE,,,,GERLACHOVSKÝ ŠTÍT
90,101,"43°23'45""","22°40'46""",MIDZOR / MIDZHUR,2168,1478,68.17,SMB1,3,L,SER/BUL,? 2169,"42°51'24""","22°55'02""",MONT BLANC,MUSALA,MIDZOR,,,MUSALA
91,102,"43°07'42""","19°02'12""",DURMITOR (BOBOTOV KUK),2522,1477,58.56,SMB1,3,H,CG,Crkvine (1045) ? 1043,"42°47'59""","19°27'01""",MONT BLANC,JEZERCËS,DURMITOR,,,JEZERCËS
92,103,"46°05'23""","08°23'39""",TOGANO,2301,1474,64.06,SMB1,3,H,I,near Druogno (827) ? 2300,"46°07'59""","08°25'59""",MONT BLANC,,TOGANO,,,MONT BLANC
93,104,"39°26'18""","23°02'51""",PELION (POURIANOS STAVROS),1610,1473,91.49,SMA1,2,L,GR,? 1624 m,"39°23'00""","22°50'59""",PELION,,,,,KISSAVOS
94,105,"36°40'36""","-4°59'41""",TORRECILLA,1919,1472,76.71,SMA2,2,H,E,Los Talancones (447),"37°11'33""","-4°42'59""",MULHACÉN,TORRECILLA,,,,MULHACÉN
95,106,"46°54'00""","09°28'03""",HALDENSTEINER CALANDA,2806,1467,52.28,SMB1,4,L,CH,North of Kunkels Pass (1339 SRTM) ,"46°51'27""","09°24'40""",MONT BLANC,,HALDENSTEINER CALANDA,,,FINSTERAARHORN
96,107,"46°38'36""","08°25'16""",DAMMASTOCK,3630,1465,40.36,SMB2,5,H,CH,Grimsel (2165),"46°33'39""","08°20'31""",MONT BLANC,,FINSTERAARHORN,DAMMASTOCK,,FINSTERAARHORN
97,108,"47°29'57""","13°13'36""",RAUCHECK,2430,1463,60.21,SMB1,3,H,A,"St. Martin (Wimm, 967)","47°28'15""","13°23'01""",MONT BLANC,HOHER DACHSTEIN,RAUCHECK,,,HOHER DACHSTEIN
98,109,"42°49'30""","13°16'36""",MONTE VETTORE,2476,1463,59.09,SMB1,3,H,I,Passo di Torrita (1013),"42°36'27""","13°12'55""",MONT BLANC,CORNO GRANDE,MONTE VETTORE,,,CORNO GRANDE
99,110,"61°48'12""","05°49'29""",GJEGNEN / BLÅNIBBA,1670,1460,87.43,SMA2,2,H,N,near Skei (210),"61°34'20""","06°28'56""",GALDHØPIGGEN,GJEGNEN,,,,GALDHØPIGGEN
100,111,"40°42'26""","20°08'38""",PARTIZANI / MAJA E TOMORIT,2416,1449,59.98,SMB1,3,H,AL,unnamed (ca. 990),"40°33'41""","20°19'00""",MONT BLANC,GOLEM KORAB,PARTIZANI,,,GRÁMOS
